,City Name,Country Code,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
401,grindavik,is,63.84,-22.43,47.35,70.0,20.0,18.34
402,hasaki,jp,35.73,140.83,58.91,87.0,75.0,10.29
403,itacoatiara,br,-3.14,-58.44,80.59,89.0,64.0,3.71
404,yabrud,sy,33.97,36.66,62.6,36.0,20.0,6.93
405,saravan,la,39.72,45.65,50.0,76.0,90.0,4.7
406,pochutla,mx,15.74,-96.47,86.54,97.0,20.0,8.05
407,svetlaya,ru,46.54,138.33,39.37,78.0,0.0,8.52
408,sao lourenco,br,39.01,-9.42,65.32,88.0,20.0,10.29
409,majene,id,-3.54,118.97,80.14,100.0,76.0,7.29
410,bitung,id,1.44,125.19,75.2,94.0,20.0,1.12
411,vila velha,br,-3.71,-38.6,86.0,66.0,20.0,17.22
413,verkhnevilyuysk,ru,63.45,120.31,35.86,95.0,88.0,6.73
415,beterou,bj,9.2,2.26,91.66,40.0,44.0,3.04
416,xichang,cn,27.88,102.25,62.77,42.0,12.0,1.7
417,kuandian,cn,40.73,124.78,46.12,96.0,68.0,2.48
418,road town,vg,18.42,-64.62,83.28,62.0,75.0,14.99
419,kahului,us,20.89,-156.47,70.92,78.0,20.0,10.29
420,hovd,mn,63.83,10.7,52.66,66.0,0.0,8.05
421,tubuala,pa,9.52,-79.03,91.4,59.0,40.0,3.36
423,deer lake,ca,49.18,-57.43,39.2,48.0,40.0,12.75
424,puerto escondido,mx,15.86,-97.07,84.2,66.0,5.0,11.41
425,beltinci,si,46.6,16.24,77.0,44.0,0.0,6.93
426,plettenberg bay,za,-34.05,23.37,58.63,97.0,0.0,3.27
427,pudozh,ru,61.81,36.54,28.21,74.0,32.0,8.52
428,gao,ml,16.28,-0.04,99.94,13.0,0.0,5.17
429,magdagachi,ru,53.45,125.8,34.24,48.0,12.0,5.06
430,jimeta,ng,9.28,12.44,85.72,53.0,76.0,3.6
431,matara,lk,-13.74,-72.9,53.6,54.0,75.0,2.59
